image_st,labels,image_rgb,percentile
images_pr_paranagua_B10_raw_022_065.tif,labels_pr_paranagua_022_065.tif,images_pr_paranagua_022_065.tif,1
images_pr_paranagua_B10_raw_053_019.tif,labels_pr_paranagua_053_019.tif,images_pr_paranagua_053_019.tif,3
images_pr_paranagua_B10_raw_019_088.tif,labels_pr_paranagua_019_088.tif,images_pr_paranagua_019_088.tif,2
images_pr_paranagua_B10_raw_039_095.tif,labels_pr_paranagua_039_095.tif,images_pr_paranagua_039_095.tif,1
images_pr_paranagua_B10_raw_020_103.tif,labels_pr_paranagua_020_103.tif,images_pr_paranagua_020_103.tif,0
images_pr_paranagua_B10_raw_040_012.tif,labels_pr_paranagua_040_012.tif,images_pr_paranagua_040_012.tif,3
images_pr_paranagua_B10_raw_052_051.tif,labels_pr_paranagua_052_051.tif,images_pr_paranagua_052_051.tif,0
images_pr_guaratuba_B10_raw_17_11.tif,labels_pr_guaratuba_17_11.tif,images_pr_guaratuba_rgb_17_11.tif,0
images_pr_guaratuba_B10_raw_24_21.tif,labels_pr_guaratuba_24_21.tif,images_pr_guaratuba_rgb_24_21.tif,1
images_pr_paranagua_B10_raw_032_005.tif,labels_pr_paranagua_032_005.tif,images_pr_paranagua_032_005.tif,0
images_pr_paranagua_B10_raw_041_096.tif,labels_pr_paranagua_041_096.tif,images_pr_paranagua_041_096.tif,0
images_pr_paranagua_B10_raw_023_096.tif,labels_pr_paranagua_023_096.tif,images_pr_paranagua_023_096.tif,2
images_pr_paranagua_B10_raw_053_015.tif,labels_pr_paranagua_053_015.tif,images_pr_paranagua_053_015.tif,0
images_pr_paranagua_B10_raw_049_028.tif,labels_pr_paranagua_049_028.tif,images_pr_paranagua_049_028.tif,0
images_pr_paranagua_B10_raw_039_057.tif,labels_pr_paranagua_039_057.tif,images_pr_paranagua_039_057.tif,2
images_pr_paranagua_B10_raw_029_086.tif,labels_pr_paranagua_029_086.tif,images_pr_paranagua_029_086.tif,2
images_pr_paranagua_B10_raw_062_031.tif,labels_pr_paranagua_062_031.tif,images_pr_paranagua_062_031.tif,3
images_pr_paranagua_B10_raw_042_093.tif,labels_pr_paranagua_042_093.tif,images_pr_paranagua_042_093.tif,1
images_pr_guaratuba_B10_raw_01_20.tif,labels_pr_guaratuba_01_20.tif,images_pr_guaratuba_rgb_01_20.tif,1
images_pr_paranagua_B10_raw_024_085.tif,labels_pr_paranagua_024_085.tif,images_pr_paranagua_024_085.tif,0
images_pr_paranagua_B10_raw_076_049.tif,labels_pr_paranagua_076_049.tif,images_pr_paranagua_076_049.tif,0
images_pr_paranagua_B10_raw_019_105.tif,labels_pr_paranagua_019_105.tif,images_pr_paranagua_019_105.tif,0
images_pr_paranagua_B10_raw_032_062.tif,labels_pr_paranagua_032_062.tif,images_pr_paranagua_032_062.tif,2
images_pr_paranagua_B10_raw_012_085.tif,labels_pr_paranagua_012_085.tif,images_pr_paranagua_012_085.tif,0
images_pr_guaratuba_B10_raw_19_18.tif,labels_pr_guaratuba_19_18.tif,images_pr_guaratuba_rgb_19_18.tif,1
images_pr_guaratuba_B10_raw_18_03.tif,labels_pr_guaratuba_18_03.tif,images_pr_guaratuba_rgb_18_03.tif,2
images_pr_paranagua_B10_raw_068_051.tif,labels_pr_paranagua_068_051.tif,images_pr_paranagua_068_051.tif,0
images_pr_paranagua_B10_raw_030_009.tif,labels_pr_paranagua_030_009.tif,images_pr_paranagua_030_009.tif,1
images_pr_paranagua_B10_raw_034_010.tif,labels_pr_paranagua_034_010.tif,images_pr_paranagua_034_010.tif,0
images_pr_paranagua_B10_raw_040_099.tif,labels_pr_paranagua_040_099.tif,images_pr_paranagua_040_099.tif,3
images_pr_paranagua_B10_raw_037_011.tif,labels_pr_paranagua_037_011.tif,images_pr_paranagua_037_011.tif,1
images_pr_paranagua_B10_raw_024_073.tif,labels_pr_paranagua_024_073.tif,images_pr_paranagua_024_073.tif,0
images_pr_paranagua_B10_raw_063_033.tif,labels_pr_paranagua_063_033.tif,images_pr_paranagua_063_033.tif,0
images_pr_paranagua_B10_raw_063_047.tif,labels_pr_paranagua_063_047.tif,images_pr_paranagua_063_047.tif,1
images_pr_paranagua_B10_raw_040_058.tif,labels_pr_paranagua_040_058.tif,images_pr_paranagua_040_058.tif,1
images_pr_paranagua_B10_raw_018_065.tif,labels_pr_paranagua_018_065.tif,images_pr_paranagua_018_065.tif,0
images_pr_paranagua_B10_raw_023_107.tif,labels_pr_paranagua_023_107.tif,images_pr_paranagua_023_107.tif,3
images_pr_paranagua_B10_raw_055_012.tif,labels_pr_paranagua_055_012.tif,images_pr_paranagua_055_012.tif,3
images_pr_paranagua_B10_raw_014_065.tif,labels_pr_paranagua_014_065.tif,images_pr_paranagua_014_065.tif,0
images_pr_paranagua_B10_raw_010_081.tif,labels_pr_paranagua_010_081.tif,images_pr_paranagua_010_081.tif,2
images_pr_paranagua_B10_raw_064_053.tif,labels_pr_paranagua_064_053.tif,images_pr_paranagua_064_053.tif,2
images_pr_paranagua_B10_raw_019_099.tif,labels_pr_paranagua_019_099.tif,images_pr_paranagua_019_099.tif,0
images_pr_paranagua_B10_raw_067_051.tif,labels_pr_paranagua_067_051.tif,images_pr_paranagua_067_051.tif,3
images_pr_guaratuba_B10_raw_09_09.tif,labels_pr_guaratuba_09_09.tif,images_pr_guaratuba_rgb_09_09.tif,3
images_pr_paranagua_B10_raw_020_092.tif,labels_pr_paranagua_020_092.tif,images_pr_paranagua_020_092.tif,0
images_pr_paranagua_B10_raw_044_063.tif,labels_pr_paranagua_044_063.tif,images_pr_paranagua_044_063.tif,0
images_pr_guaratuba_B10_raw_09_05.tif,labels_pr_guaratuba_09_05.tif,images_pr_guaratuba_rgb_09_05.tif,3
images_pr_paranagua_B10_raw_032_090.tif,labels_pr_paranagua_032_090.tif,images_pr_paranagua_032_090.tif,1
images_pr_paranagua_B10_raw_064_032.tif,labels_pr_paranagua_064_032.tif,images_pr_paranagua_064_032.tif,3
images_pr_paranagua_B10_raw_032_101.tif,labels_pr_paranagua_032_101.tif,images_pr_paranagua_032_101.tif,1
images_pr_guaratuba_B10_raw_08_09.tif,labels_pr_guaratuba_08_09.tif,images_pr_guaratuba_rgb_08_09.tif,2
images_pr_paranagua_B10_raw_022_082.tif,labels_pr_paranagua_022_082.tif,images_pr_paranagua_022_082.tif,3
images_pr_paranagua_B10_raw_064_030.tif,labels_pr_paranagua_064_030.tif,images_pr_paranagua_064_030.tif,1
images_pr_paranagua_B10_raw_048_033.tif,labels_pr_paranagua_048_033.tif,images_pr_paranagua_048_033.tif,0
images_pr_paranagua_B10_raw_046_088.tif,labels_pr_paranagua_046_088.tif,images_pr_paranagua_046_088.tif,3
images_pr_paranagua_B10_raw_007_062.tif,labels_pr_paranagua_007_062.tif,images_pr_paranagua_007_062.tif,0
images_pr_paranagua_B10_raw_034_098.tif,labels_pr_paranagua_034_098.tif,images_pr_paranagua_034_098.tif,1
images_pr_paranagua_B10_raw_023_072.tif,labels_pr_paranagua_023_072.tif,images_pr_paranagua_023_072.tif,1
images_pr_guaratuba_B10_raw_15_12.tif,labels_pr_guaratuba_15_12.tif,images_pr_guaratuba_rgb_15_12.tif,3
images_pr_paranagua_B10_raw_060_026.tif,labels_pr_paranagua_060_026.tif,images_pr_paranagua_060_026.tif,1
images_pr_paranagua_B10_raw_036_009.tif,labels_pr_paranagua_036_009.tif,images_pr_paranagua_036_009.tif,2
images_pr_paranagua_B10_raw_030_093.tif,labels_pr_paranagua_030_093.tif,images_pr_paranagua_030_093.tif,0
images_pr_paranagua_B10_raw_042_026.tif,labels_pr_paranagua_042_026.tif,images_pr_paranagua_042_026.tif,1
images_pr_paranagua_B10_raw_068_045.tif,labels_pr_paranagua_068_045.tif,images_pr_paranagua_068_045.tif,1
images_pr_paranagua_B10_raw_013_059.tif,labels_pr_paranagua_013_059.tif,images_pr_paranagua_013_059.tif,0
images_pr_paranagua_B10_raw_019_110.tif,labels_pr_paranagua_019_110.tif,images_pr_paranagua_019_110.tif,1
images_pr_paranagua_B10_raw_019_063.tif,labels_pr_paranagua_019_063.tif,images_pr_paranagua_019_063.tif,1
images_pr_guaratuba_B10_raw_04_17.tif,labels_pr_guaratuba_04_17.tif,images_pr_guaratuba_rgb_04_17.tif,3
images_pr_paranagua_B10_raw_068_043.tif,labels_pr_paranagua_068_043.tif,images_pr_paranagua_068_043.tif,1
images_pr_paranagua_B10_raw_036_010.tif,labels_pr_paranagua_036_010.tif,images_pr_paranagua_036_010.tif,2
images_pr_paranagua_B10_raw_012_083.tif,labels_pr_paranagua_012_083.tif,images_pr_paranagua_012_083.tif,3
images_pr_paranagua_B10_raw_013_064.tif,labels_pr_paranagua_013_064.tif,images_pr_paranagua_013_064.tif,3
images_pr_paranagua_B10_raw_003_100.tif,labels_pr_paranagua_003_100.tif,images_pr_paranagua_003_100.tif,0
images_pr_paranagua_B10_raw_032_082.tif,labels_pr_paranagua_032_082.tif,images_pr_paranagua_032_082.tif,2
images_pr_guaratuba_B10_raw_14_04.tif,labels_pr_guaratuba_14_04.tif,images_pr_guaratuba_rgb_14_04.tif,2
images_pr_guaratuba_B10_raw_03_22.tif,labels_pr_guaratuba_03_22.tif,images_pr_guaratuba_rgb_03_22.tif,3
images_pr_paranagua_B10_raw_026_081.tif,labels_pr_paranagua_026_081.tif,images_pr_paranagua_026_081.tif,3
images_pr_paranagua_B10_raw_065_030.tif,labels_pr_paranagua_065_030.tif,images_pr_paranagua_065_030.tif,1
images_pr_paranagua_B10_raw_021_076.tif,labels_pr_paranagua_021_076.tif,images_pr_paranagua_021_076.tif,3
images_pr_paranagua_B10_raw_043_059.tif,labels_pr_paranagua_043_059.tif,images_pr_paranagua_043_059.tif,1
images_pr_paranagua_B10_raw_040_100.tif,labels_pr_paranagua_040_100.tif,images_pr_paranagua_040_100.tif,1
images_pr_guaratuba_B10_raw_08_12.tif,labels_pr_guaratuba_08_12.tif,images_pr_guaratuba_rgb_08_12.tif,3
images_pr_paranagua_B10_raw_025_077.tif,labels_pr_paranagua_025_077.tif,images_pr_paranagua_025_077.tif,2
images_pr_paranagua_B10_raw_060_053.tif,labels_pr_paranagua_060_053.tif,images_pr_paranagua_060_053.tif,2
images_pr_paranagua_B10_raw_052_057.tif,labels_pr_paranagua_052_057.tif,images_pr_paranagua_052_057.tif,0
images_pr_paranagua_B10_raw_040_008.tif,labels_pr_paranagua_040_008.tif,images_pr_paranagua_040_008.tif,1
images_pr_guaratuba_B10_raw_24_20.tif,labels_pr_guaratuba_24_20.tif,images_pr_guaratuba_rgb_24_20.tif,2
images_pr_paranagua_B10_raw_018_074.tif,labels_pr_paranagua_018_074.tif,images_pr_paranagua_018_074.tif,2
images_pr_paranagua_B10_raw_019_097.tif,labels_pr_paranagua_019_097.tif,images_pr_paranagua_019_097.tif,2
images_pr_paranagua_B10_raw_033_066.tif,labels_pr_paranagua_033_066.tif,images_pr_paranagua_033_066.tif,0
images_pr_paranagua_B10_raw_019_113.tif,labels_pr_paranagua_019_113.tif,images_pr_paranagua_019_113.tif,2
images_pr_paranagua_B10_raw_025_108.tif,labels_pr_paranagua_025_108.tif,images_pr_paranagua_025_108.tif,0
images_pr_paranagua_B10_raw_040_025.tif,labels_pr_paranagua_040_025.tif,images_pr_paranagua_040_025.tif,1
images_pr_paranagua_B10_raw_060_058.tif,labels_pr_paranagua_060_058.tif,images_pr_paranagua_060_058.tif,3
images_pr_guaratuba_B10_raw_18_10.tif,labels_pr_guaratuba_18_10.tif,images_pr_guaratuba_rgb_18_10.tif,2
images_pr_guaratuba_B10_raw_10_17.tif,labels_pr_guaratuba_10_17.tif,images_pr_guaratuba_rgb_10_17.tif,1
images_pr_paranagua_B10_raw_052_011.tif,labels_pr_paranagua_052_011.tif,images_pr_paranagua_052_011.tif,0
images_pr_guaratuba_B10_raw_11_03.tif,labels_pr_guaratuba_11_03.tif,images_pr_guaratuba_rgb_11_03.tif,3
images_pr_paranagua_B10_raw_035_062.tif,labels_pr_paranagua_035_062.tif,images_pr_paranagua_035_062.tif,1
images_pr_guaratuba_B10_raw_05_17.tif,labels_pr_guaratuba_05_17.tif,images_pr_guaratuba_rgb_05_17.tif,3
images_pr_paranagua_B10_raw_063_057.tif,labels_pr_paranagua_063_057.tif,images_pr_paranagua_063_057.tif,0
images_pr_paranagua_B10_raw_068_053.tif,labels_pr_paranagua_068_053.tif,images_pr_paranagua_068_053.tif,2
images_pr_paranagua_B10_raw_061_066.tif,labels_pr_paranagua_061_066.tif,images_pr_paranagua_061_066.tif,0
images_pr_paranagua_B10_raw_019_098.tif,labels_pr_paranagua_019_098.tif,images_pr_paranagua_019_098.tif,3
images_pr_paranagua_B10_raw_019_069.tif,labels_pr_paranagua_019_069.tif,images_pr_paranagua_019_069.tif,3
images_pr_paranagua_B10_raw_041_025.tif,labels_pr_paranagua_041_025.tif,images_pr_paranagua_041_025.tif,0
images_pr_paranagua_B10_raw_057_055.tif,labels_pr_paranagua_057_055.tif,images_pr_paranagua_057_055.tif,0
images_pr_paranagua_B10_raw_047_085.tif,labels_pr_paranagua_047_085.tif,images_pr_paranagua_047_085.tif,2
images_pr_paranagua_B10_raw_057_020.tif,labels_pr_paranagua_057_020.tif,images_pr_paranagua_057_020.tif,3
images_pr_paranagua_B10_raw_034_012.tif,labels_pr_paranagua_034_012.tif,images_pr_paranagua_034_012.tif,2
images_pr_paranagua_B10_raw_040_062.tif,labels_pr_paranagua_040_062.tif,images_pr_paranagua_040_062.tif,1
images_pr_guaratuba_B10_raw_04_16.tif,labels_pr_guaratuba_04_16.tif,images_pr_guaratuba_rgb_04_16.tif,3
images_pr_paranagua_B10_raw_060_057.tif,labels_pr_paranagua_060_057.tif,images_pr_paranagua_060_057.tif,2
images_pr_guaratuba_B10_raw_13_01.tif,labels_pr_guaratuba_13_01.tif,images_pr_guaratuba_rgb_13_01.tif,1
images_pr_paranagua_B10_raw_032_061.tif,labels_pr_paranagua_032_061.tif,images_pr_paranagua_032_061.tif,0
images_pr_paranagua_B10_raw_062_058.tif,labels_pr_paranagua_062_058.tif,images_pr_paranagua_062_058.tif,0
images_pr_guaratuba_B10_raw_22_18.tif,labels_pr_guaratuba_22_18.tif,images_pr_guaratuba_rgb_22_18.tif,2
images_pr_paranagua_B10_raw_058_030.tif,labels_pr_paranagua_058_030.tif,images_pr_paranagua_058_030.tif,3
images_pr_paranagua_B10_raw_029_017.tif,labels_pr_paranagua_029_017.tif,images_pr_paranagua_029_017.tif,0
images_pr_guaratuba_B10_raw_15_07.tif,labels_pr_guaratuba_15_07.tif,images_pr_guaratuba_rgb_15_07.tif,3
images_pr_guaratuba_B10_raw_06_23.tif,labels_pr_guaratuba_06_23.tif,images_pr_guaratuba_rgb_06_23.tif,3
images_pr_paranagua_B10_raw_042_011.tif,labels_pr_paranagua_042_011.tif,images_pr_paranagua_042_011.tif,3
images_pr_paranagua_B10_raw_069_041.tif,labels_pr_paranagua_069_041.tif,images_pr_paranagua_069_041.tif,1
images_pr_guaratuba_B10_raw_16_04.tif,labels_pr_guaratuba_16_04.tif,images_pr_guaratuba_rgb_16_04.tif,2
images_pr_paranagua_B10_raw_035_059.tif,labels_pr_paranagua_035_059.tif,images_pr_paranagua_035_059.tif,0
images_pr_guaratuba_B10_raw_02_18.tif,labels_pr_guaratuba_02_18.tif,images_pr_guaratuba_rgb_02_18.tif,3
images_pr_paranagua_B10_raw_024_092.tif,labels_pr_paranagua_024_092.tif,images_pr_paranagua_024_092.tif,1
images_pr_guaratuba_B10_raw_09_01.tif,labels_pr_guaratuba_09_01.tif,images_pr_guaratuba_rgb_09_01.tif,2
images_pr_paranagua_B10_raw_022_090.tif,labels_pr_paranagua_022_090.tif,images_pr_paranagua_022_090.tif,1
images_pr_paranagua_B10_raw_023_015.tif,labels_pr_paranagua_023_015.tif,images_pr_paranagua_023_015.tif,0
images_pr_paranagua_B10_raw_055_023.tif,labels_pr_paranagua_055_023.tif,images_pr_paranagua_055_023.tif,0
images_pr_paranagua_B10_raw_076_053.tif,labels_pr_paranagua_076_053.tif,images_pr_paranagua_076_053.tif,0
images_pr_paranagua_B10_raw_034_062.tif,labels_pr_paranagua_034_062.tif,images_pr_paranagua_034_062.tif,3
images_pr_paranagua_B10_raw_040_023.tif,labels_pr_paranagua_040_023.tif,images_pr_paranagua_040_023.tif,2
images_pr_paranagua_B10_raw_026_066.tif,labels_pr_paranagua_026_066.tif,images_pr_paranagua_026_066.tif,0
images_pr_paranagua_B10_raw_060_037.tif,labels_pr_paranagua_060_037.tif,images_pr_paranagua_060_037.tif,1
images_pr_paranagua_B10_raw_029_095.tif,labels_pr_paranagua_029_095.tif,images_pr_paranagua_029_095.tif,3
images_pr_paranagua_B10_raw_017_071.tif,labels_pr_paranagua_017_071.tif,images_pr_paranagua_017_071.tif,1
images_pr_paranagua_B10_raw_043_055.tif,labels_pr_paranagua_043_055.tif,images_pr_paranagua_043_055.tif,0
images_pr_paranagua_B10_raw_037_087.tif,labels_pr_paranagua_037_087.tif,images_pr_paranagua_037_087.tif,1
images_pr_paranagua_B10_raw_046_049.tif,labels_pr_paranagua_046_049.tif,images_pr_paranagua_046_049.tif,3
images_pr_paranagua_B10_raw_030_091.tif,labels_pr_paranagua_030_091.tif,images_pr_paranagua_030_091.tif,1
images_pr_paranagua_B10_raw_014_063.tif,labels_pr_paranagua_014_063.tif,images_pr_paranagua_014_063.tif,3
images_pr_paranagua_B10_raw_024_096.tif,labels_pr_paranagua_024_096.tif,images_pr_paranagua_024_096.tif,3
images_pr_paranagua_B10_raw_043_058.tif,labels_pr_paranagua_043_058.tif,images_pr_paranagua_043_058.tif,2
images_pr_guaratuba_B10_raw_05_14.tif,labels_pr_guaratuba_05_14.tif,images_pr_guaratuba_rgb_05_14.tif,2
images_pr_paranagua_B10_raw_028_094.tif,labels_pr_paranagua_028_094.tif,images_pr_paranagua_028_094.tif,3
images_pr_paranagua_B10_raw_037_082.tif,labels_pr_paranagua_037_082.tif,images_pr_paranagua_037_082.tif,3
images_pr_guaratuba_B10_raw_23_13.tif,labels_pr_guaratuba_23_13.tif,images_pr_guaratuba_rgb_23_13.tif,0
images_pr_paranagua_B10_raw_069_057.tif,labels_pr_paranagua_069_057.tif,images_pr_paranagua_069_057.tif,0
images_pr_paranagua_B10_raw_011_086.tif,labels_pr_paranagua_011_086.tif,images_pr_paranagua_011_086.tif,0
images_pr_guaratuba_B10_raw_15_10.tif,labels_pr_guaratuba_15_10.tif,images_pr_guaratuba_rgb_15_10.tif,2
images_pr_paranagua_B10_raw_014_076.tif,labels_pr_paranagua_014_076.tif,images_pr_paranagua_014_076.tif,3
